playoff,year,tmID,lost,o_reb,home_win_pct,away_win_pct,conf_win_rate,scoring_efficiency,reb_efficiency,defensive_pts_efficiency,def_reb_efficiency,off_reb_efficiency,ast_to_ratio,steals_per_game,blocks_per_game,playoff_win_pct
Y,8,DET,10,1311,0.7058823529411765,0.7058823529411765,0.7,1.1928350287483414,0.5798319327731093,74.70588235294117,0.4814323607427055,0.5798319327731093,0.99822695035461,6.676470588235294,3.4411764705882355,0.3333333333333333
Y,9,DET,12,1248,0.8235294117647058,0.4705882352941176,0.8,1.1642701525054466,0.5437908496732026,74.17647058823529,0.504416550441655,0.5437908496732026,1.217741935483871,8.176470588235293,3.4705882352941178,0.3333333333333333
Y,10,DET,16,1226,0.6470588235294118,0.4117647058823529,0.5,1.1646903820816863,0.5384277558190602,77.76470588235294,0.5002271694684235,0.5384277558190602,1.0531135531135531,7.676470588235294,2.8529411764705883,0.625
Y,1,HOU,5,997,0.875,0.8125,0.8095238095238095,1.3067581837381204,0.5263991552270327,64.5625,0.4654282765737874,0.5263991552270327,1.1227272727272728,8.875,3.25,0.3333333333333333
Y,2,HOU,13,1058,0.6875,0.5,0.6190476190476191,1.0728511530398324,0.5545073375262054,62.3125,0.5215082315454063,0.5545073375262054,0.9770642201834864,7.84375,2.96875,0.4
Y,3,HOU,8,1001,0.875,0.625,0.7619047619047619,1.1653543307086611,0.562992125984252,59.125,0.5175531914893617,0.562992125984252,0.989010989010989,8.125,3.9375,0.0
Y,4,HOU,14,1030,0.8235294117647058,0.3529411764705882,0.5833333333333334,1.1711899791231732,0.5375782881002088,63.0,0.4955665024630541,0.5375782881002088,1.0333333333333334,6.794117647058823,3.794117647058824,0.75
N,5,HOU,21,1035,0.5294117647058824,0.2352941176470588,0.3181818181818182,1.1262286601138127,0.5354371443352303,65.02941176470588,0.525398406374502,0.5354371443352303,0.9318181818181818,7.117647058823529,3.147058823529412,0.3333333333333333
Y,6,HOU,15,960,0.6470588235294118,0.4705882352941176,0.5,1.2026041666666667,0.5,66.55882352941177,0.4943415637860082,0.5,1.0988235294117648,7.235294117647059,3.088235294117647,0.5
Y,7,HOU,16,1125,0.7058823529411765,0.3529411764705882,0.55,1.1949475691134417,0.5362249761677789,72.02941176470588,0.503584229390681,0.5362249761677789,0.939929328621908,7.411764705882353,2.4705882352941178,0.625
